Hello,Hi there!,Hello,Greetings
How are you,Im good thanks,Im fine and you?,Doing good
Hi There,Hi there!,Hello,Greetings
Greetings ,Hi there!,Hello,Greetings
What are you,"I am a twitter bot, I can look up and assist you when looking for tweets","I am a twitter bot, I can look up and assist you when looking for tweets","I am a twitter bot, I can look up and assist you when looking for tweets"
Who are you,I am twitter bot,I am twitter bot,I am twitter bot
What did Tweet Recently,TWEETSEARCH,TWEETSEARCH,TWEETSEARCH
What was most recent ,TWEETSEARCH,TWEETSEARCH,TWEETSEARCH
Tweet,TWEETSEARCH,TWEETSEARCH,TWEETSEARCH
Most Recent Tweet,TWEETSEARCH,TWEETSEARCH,TWEETSEARCH
Tweeted,TWEETSEARCH,TWEETSEARCH,TWEETSEARCH
Recent Tweet,TWEETSEARCH,TWEETSEARCH,TWEETSEARCH
Tell me about yourself,I am but a humble chat bot,I am but a humble chat bot,I am but a humble chat bot
Its nice talking to you,My parameters indicate I too enjoy this converstation,Thank you I am having fun too,Its nice talking to you!
Do you know,I did not,That is Intersting,How Cool
